CHEBI:15721	G49617BN
CHEBI:15703	G79803ZA
CHEBI:15674	G35198MQ
CHEBI:15673	G12655FY
CHEBI:15672	G95238FE
CHEBI:15671	G31652HG
CHEBI:16332	G46094SV
CHEBI:16308	G69451QS
CHEBI:16298	G34820UC
CHEBI:16292	G26873TS
CHEBI:16224	G71265TM
CHEBI:16609	G07736EY
CHEBI:16551	G92130SN
CHEBI:16392	G72716XF
CHEBI:16905	G89065NU
CHEBI:16885	G11260CN
CHEBI:16880	G10912JX
CHEBI:16809	G23375NF
CHEBI:16802	G89239JX
CHEBI:16789	G88438YV
CHEBI:17173	G13347EW
CHEBI:17164	G21073BE
CHEBI:17151	G06874YZ
CHEBI:17151	G19384RF
CHEBI:17140	G63317ON
CHEBI:17138	G05449DN
CHEBI:17118	G93924TT
CHEBI:17063	G34921JZ
CHEBI:15845	G49017OB
CHEBI:18411	G52148JS
CHEBI:18403	G64539CK
CHEBI:18403	G35781DT
CHEBI:18394	G36918VO
CHEBI:18336	G59996WL
CHEBI:18333	G53504DV
CHEBI:18333	G07663YB
CHEBI:18217	G27798EJ
CHEBI:18167	G07411ON
CHEBI:18147	G66120GK
CHEBI:18113	G14119CE
CHEBI:18105	G03873YC
CHEBI:17992	G05551OP
CHEBI:17979	G41915IH
CHEBI:17942	G70440ZO
CHEBI:17925	G58161NS
CHEBI:17901	G46897FC
CHEBI:17897	G88620LS
CHEBI:17892	G83870GA
CHEBI:17888	G92315KF
CHEBI:17754	G50720WY
CHEBI:17754	G35293BQ
CHEBI:17720	G13685BJ
CHEBI:17719	G25562BM
CHEBI:17716	G74621DY
CHEBI:17702	G38476YV
CHEBI:17680	G57307OS
CHEBI:17631	G44688AW
CHEBI:17587	G51995KQ
CHEBI:17459	G39147JV
CHEBI:17429	G79938IZ
CHEBI:17378	G72943US
CHEBI:17363	G61674AO
CHEBI:17332	G56466FI
CHEBI:17306	G41366RG
CHEBI:17270	G44384WF
CHEBI:28816	G18505KX
CHEBI:28789	G15777VT
CHEBI:28784	G88525OG
CHEBI:28782	G93589FN
CHEBI:28729	G61491DK
CHEBI:28587	G49708JS
CHEBI:28552	G70761DO
CHEBI:28543	G26478JK
CHEBI:28518	G03144EF
CHEBI:28497	G61418DU
CHEBI:28480	G95233PP
CHEBI:28393	G19577LJ
CHEBI:28189	G39326SA
CHEBI:28161	G16579HJ
CHEBI:28140	G38246RI
CHEBI:28066	G54631HK
CHEBI:28053	G09165XB
CHEBI:28037	G27025MB
CHEBI:28029	G97310WI
CHEBI:28013	G68927OS
CHEBI:27975	G97811CK
CHEBI:27913	G67536JD
CHEBI:27907	G38999IM
CHEBI:27904	G76233QG
CHEBI:27851	G84712AY
CHEBI:27778	G87935LL
CHEBI:27672	G92855OW
CHEBI:27649	G33569DD
CHEBI:27605	G67077DJ
CHEBI:27586	G51535NO
CHEBI:27522	G00440OL
CHEBI:27503	G66334HW
CHEBI:27442	G82562YG
CHEBI:18268	G10736YH
CHEBI:18202	G62696AX
CHEBI:17863	G19354UQ
CHEBI:17399	G69371PB
CHEBI:16813	G25565DN
CHEBI:16710	G70858BD
CHEBI:16534	G72010DO
CHEBI:16405	G74556OQ
CHEBI:16241	G13077CN
CHEBI:16217	G58393QV
CHEBI:17057	G12460QS
CHEBI:17050	G50853HE
CHEBI:17039	G19132UA
CHEBI:16935	G82971GZ
CHEBI:16165	G35637EX
CHEBI:18232	G08844GA
CHEBI:15945	G39340DV
CHEBI:15770	G24385LS
CHEBI:18004	G43768JB
CHEBI:17665	G37582GI
CHEBI:17535	G88980IR
CHEBI:15931	G81188KZ
CHEBI:16246	G07991TG
CHEBI:17113	G18035IT
CHEBI:17456	G15985JF
CHEBI:16655	G96992VE
CHEBI:28994	G39728LW
CHEBI:28945	G90306MK
CHEBI:16751	G51820LQ
CHEBI:16735	G34353MY
CHEBI:16715	G58064HD
CHEBI:16702	G41251HA
CHEBI:16689	G49151RQ
CHEBI:16634	G40178VU
CHEBI:16177	G42865BX
CHEBI:16084	G73453TH
CHEBI:16070	G50990UV
CHEBI:16055	G21384KD
CHEBI:16023	G22000SU
CHEBI:16016	G69666WN
CHEBI:16001	G84518AO
CHEBI:15963	G06874YZ
CHEBI:15963	G19384RF
CHEBI:15954	G44775RL
CHEBI:15946	G12594GB
CHEBI:15936	G01550VL
CHEBI:15903	G71142DF
CHEBI:15895	G97368GU
CHEBI:15863	G04181HV
CHEBI:15847	G30391QE
CHEBI:17835	G21469RW
CHEBI:17316	G98899YU
CHEBI:33076	G57275GR
CHEBI:33020	G20742IJ
CHEBI:32844	G32991GY
CHEBI:32817	G41024ZB
CHEBI:32398	G41185RT
CHEBI:30852	G56286UC
CHEBI:15978	G89289AE
CHEBI:16895	G36354LG
CHEBI:30248	G45827GY
CHEBI:29111	G15305CQ
CHEBI:29052	G53764RY
CHEBI:17794	G42557TG
CHEBI:17733	G92708AT
CHEBI:28663	G84636BJ
CHEBI:27707	G04616ST
CHEBI:27603	G38566MJ
CHEBI:18283	G13781IK
CHEBI:17924	G32374SR
CHEBI:17012	G81533KY
CHEBI:16108	G67867AY
CHEBI:15873	G97467RI
CHEBI:15867	G95081VW
CHEBI:16221	G44443TV
CHEBI:16002	G37845XB
CHEBI:17044	G39846RD
CHEBI:16948	G78792WC
CHEBI:16938	G19751JJ
CHEBI:16899	G51661YR
CHEBI:15908	G04439TG
CHEBI:15784	G34293NG
CHEBI:7570	G56660NC
CHEBI:6731	G80689JY
CHEBI:18719	G40437FC
CHEBI:10368	G80487UG
CHEBI:29612	G95721OG
CHEBI:29568	G07071JF
CHEBI:25001	G18698MY
CHEBI:23360	G36797WL
CHEBI:21405	G77428YW
CHEBI:21288	G09069ML
CHEBI:21077	G23711DK
CHEBI:7912	G96853FU
CHEBI:5445	G99103VB
CHEBI:3528	G41078PD
CHEBI:1230	G63873ID
CHEBI:32575	G81224RK
CHEBI:32574	G65239NW
CHEBI:32573	G66560KX
CHEBI:32572	G78747CK
CHEBI:32571	G71714KJ
CHEBI:32570	G37573SP
CHEBI:32569	G46270FE
CHEBI:32543	G19694VC
CHEBI:32542	G41152EL
CHEBI:32541	G24842LO
CHEBI:32540	G48903ZF
CHEBI:32539	G86102JI
CHEBI:32538	G71051OE
CHEBI:32537	G83044MS
CHEBI:32528	G83837EB
CHEBI:32525	G09987IP
CHEBI:32491	G24526VO
CHEBI:32485	G21328SM
CHEBI:31747	G97961JO
CHEBI:31012	G51039KB
CHEBI:31010	G55495LE
CHEBI:31005	G42131FN
CHEBI:30996	G95768YX
CHEBI:30990	G81567AK
CHEBI:30983	G92537FT
CHEBI:30981	G39564YW
CHEBI:30980	G54620YF
CHEBI:30957	G31882OX
CHEBI:30943	G62083JK
CHEBI:30941	G94797YK
CHEBI:10423	G52387VA
CHEBI:10366	G35757SM
CHEBI:9859	G25887VP
CHEBI:17676	G85856RP
CHEBI:33982	G44772EH
CHEBI:17784	G88092VP
CHEBI:16772	G70026MQ
CHEBI:17163	G80335OB
CHEBI:17100	G21711QA
CHEBI:17666	G92501KL
CHEBI:17617	G53923NT
CHEBI:17464	G83200MX
CHEBI:28645	G23778LQ
CHEBI:28481	G55034GQ
CHEBI:28378	G95191MT
CHEBI:27469	G40614HM
CHEBI:18118	G36401BL
CHEBI:28272	G64007OP
CHEBI:16593	G25645HZ
CHEBI:16432	G45886IU
CHEBI:33885	G33142IJ
CHEBI:33510	G75816IR
CHEBI:17411	G01864SU
CHEBI:28907	G67393MB
CHEBI:16647	G51981TO
CHEBI:16154	G36614QW
CHEBI:21336	G41823ZC
CHEBI:21333	G75214EN
CHEBI:21101	G77371SJ
CHEBI:21041	G47677SV
CHEBI:35333	G01723MJ
CHEBI:21398	G58481IE
CHEBI:32576	G82548CR
CHEBI:30975	G30647YS
CHEBI:28085	G78317QO
CHEBI:27816	G56558PM
CHEBI:27806	G44107QT
CHEBI:27411	G50496XM
CHEBI:28676	G86802XL
CHEBI:28061	G09546QO
CHEBI:36219	G88362QR
CHEBI:36218	G84224TW
CHEBI:36217	G84824ZO
CHEBI:33508	G83093ZM
CHEBI:33198	G12678RQ
CHEBI:16153	G00055MO
CHEBI:25189	G05560BA
CHEBI:25164	G19038KD
CHEBI:19543	G17407TX
CHEBI:36231	G49736TE
CHEBI:36230	G87251UV
CHEBI:36229	G44856HU
CHEBI:36227	G16641ZZ
CHEBI:36226	G48027TR
CHEBI:36224	G78926JO
CHEBI:35930	G55958KV
CHEBI:22423	G25613FN
CHEBI:28772	G98006LH
CHEBI:2511	G32092SK
CHEBI:28110	G60830NU
CHEBI:18189	G53806GZ
CHEBI:27828	G14340LH
CHEBI:17446	G48576SB
CHEBI:37516	G72674ZI
CHEBI:22285	G21346KK
CHEBI:21500	G13734VO
CHEBI:21226	G83269AD
CHEBI:21092	G93716IA
CHEBI:21056	G13207CL
CHEBI:20741	G69175UD
CHEBI:21359	G85800UH
CHEBI:21049	G90812SJ
CHEBI:20910	G08928LP
CHEBI:37553	G64870AH
CHEBI:37552	G34497XL
CHEBI:20912	G06196YA
CHEBI:16043	G99386AP
CHEBI:16132	G60815EB
CHEBI:28563	G74840NI
CHEBI:27459	G89212US
CHEBI:27453	G42780HS
CHEBI:27438	G49697CD
CHEBI:27667	G65889KE
CHEBI:17765	G87575FZ
CHEBI:17765	G08545ST
CHEBI:27450	G93806QW
CHEBI:18069	G92956PT
CHEBI:16351	G46288OF
CHEBI:16720	G90702XG
CHEBI:4191	G14783GG
CHEBI:4208	G70323CJ
CHEBI:4167	G15021LG
CHEBI:37631	G59396XU
CHEBI:37630	G15768VA
CHEBI:37627	G16038XU
CHEBI:37626	G06186NU
CHEBI:37620	G76622SI
CHEBI:37619	G75623HL
CHEBI:37617	G36445ON
CHEBI:37729	G75593IT
CHEBI:37728	G22577PQ
CHEBI:37727	G72716FM
CHEBI:37725	G55318CR
CHEBI:37724	G84036ES
CHEBI:37721	G21908SX
CHEBI:37720	G00928TR
CHEBI:37719	G97794AX
CHEBI:37715	G77981MO
CHEBI:37714	G72000NJ
CHEBI:37706	G62164YY
CHEBI:37704	G76432BK
CHEBI:37701	G38427JR
CHEBI:37695	G79319EQ
CHEBI:37693	G25481SL
CHEBI:37692	G63875KV
CHEBI:37686	G10899AB
CHEBI:37681	G69182II
CHEBI:37680	G30086RR
CHEBI:37679	G64694IH
CHEBI:37677	G48232PN
CHEBI:37675	G95531HX
CHEBI:4139	G68158BT
CHEBI:4093	G74407MX
CHEBI:37736	G48235LO
CHEBI:2229	G93598HK
CHEBI:16126	G14110BE
CHEBI:18207	G48828SZ
CHEBI:17122	G62824GF
CHEBI:37744	G10338IN
CHEBI:37741	G05939SX
CHEBI:37740	G83119OD
CHEBI:37746	G14987PW
CHEBI:17969	G98687CI
CHEBI:17506	G17207LU
CHEBI:27508	G73633QJ
CHEBI:17797	G66544KG
CHEBI:15754	G54173SV
CHEBI:27788	G22855JS
CHEBI:28273	G38885VS
CHEBI:27973	G52490LM
CHEBI:28255	G36193TQ
CHEBI:27894	G97803IP
CHEBI:27890	G93013RN
CHEBI:27550	G93844OF
CHEBI:27527	G27289CV
